Rsi_limit,Count_deal,Max_growth_deal,Max_drawdown_deal,Max_growth_depo,Max_drawdown_depo,Avg_profit_deal,Avg_loss_deal,Winrate
(30 - 70),3037,9.56,30.19,110.52,78.16,0.92,-1.78,66.28
(29 - 71),2621,9.56,28.79,124.17,76.85,1.0,-1.92,66.27
(28 - 72),2229,13.96,27.93,112.65,126.8,1.1,-2.11,65.95
(27 - 73),1944,9.56,27.93,103.65,169.05,1.16,-2.21,64.97
(26 - 74),1694,10.64,35.59,78.52,94.81,1.26,-2.35,65.05
(25 - 75),1442,10.64,33.24,54.4,113.25,1.35,-2.58,64.98
(24 - 76),1234,10.64,33.24,56.84,100.96,1.5,-2.79,64.99
(23 - 77),1052,11.71,33.24,94.82,83.83,1.7,-3.0,64.64
(22 - 78),908,16.93,33.24,68.03,80.65,1.79,-3.39,65.97
(21 - 79),764,18.64,32.63,121.12,94.58,1.96,-3.72,66.62
(20 - 80),656,18.64,32.63,65.46,78.87,2.03,-3.78,65.4
(19 - 81),544,18.88,42.97,72.88,113.83,2.18,-4.14,63.97
(18 - 82),430,18.88,44.94,57.19,115.28,2.4,-4.79,65.58
(17 - 83),369,16.47,45.17,80.72,65.2,2.72,-4.81,66.4
(16 - 84),299,22.44,45.17,174.92,62.0,3.18,-5.7,69.9
(15 - 85),239,19.26,41.18,102.59,72.96,3.3,-6.23,67.36
(14 - 86),183,20.11,45.15,51.15,106.14,3.62,-6.61,61.2
(13 - 87),143,25.35,72.51,51.09,149.07,3.56,-8.66,65.03
(12 - 88),87,25.28,121.43,101.64,154.18,4.62,-12.04,62.07
(11 - 89),63,31.12,121.43,94.08,93.97,5.96,-10.24,58.73
(10 - 90),37,36.52,121.43,102.74,87.67,9.03,-13.62,62.16
(9 - 91),29,38.12,121.43,89.03,54.16,9.01,-15.05,65.52
(8 - 92),15,61.57,135.34,90.35,55.92,13.29,-22.02,66.67
(7 - 93),9,33.93,135.34,39.62,22.07,14.35,-10.82,55.56
(6 - 94),2,59.27,60.87,93.99,0.0,47.0,,100.0
(5 - 95),1,63.15,77.85,49.73,0.0,49.73,,100.0
(4 - 96),1,59.72,77.85,41.87,0.0,41.87,,100.0
(3 - 97),0,13.03,11.42,0.0,0.0,,,
(2 - 98),0,,,0.0,0.0,,,
(1 - 99),0,,,0.0,0.0,,,
(0 - 100),0,,,0.0,0.0,,,
